,Exchanges,id,Cash Ratio,Current Ratio,TT Liabilities on Equity,TT Liabilities on Asset,ST Liabilities on TT Liabilities,ST Liabilities on Equity,ST Liabilities on Asset,TT Debt on TT Liabilities,TT Debt on Equity,TT Debt on Asset,ST Debt on TT Liabilities,ST Debt on ST Liabilities,ST Debt on TT Debt,ST Debt on Equity,ST Debt on Asset,ROE,ROA,Gross Profit Margin,EBITDA Margin,Operating Profit Margin,Income Aft Tax Margin,Asset Turnover Ratio,Inflation,GDP,Industry,Industry_year
1,HNX,NBW_2017,0.2158346082902512,0.784774211,0.5888223419295786,0.3706030097830013,0.9931103528258396,0.5847655637454211,0.3680496858039145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071183724229072,0.0448028217822147,29.695238126,6.285087944,2.407708147,1.923696157,2.436282273,4.4,281.35,tienIch,tienIch_2017
2,HOSE,SBA_2017,0.0485530736694647,0.838808711,0.9409494811788988,0.4847882391083061,0.233737949688354,0.2199356024910763,0.113313409042203,0.766262050311646,0.7210138786878224,0.3714748300661031,0.0,0.0,0.0,0.0,0.0,0.1903751499050014,0.0980835162125759,66.443021164,61.019874725,43.634650209,40.811667733,0.238846619,4.4,281.35,tienIch,tienIch_2017
3,HNX,GDW_2017,0.1871802718811255,0.929911111,0.9138519387963416,0.47749354078617,0.750435186289941,0.6857866499320563,0.358327954232113,0.2465681975847888,0.2253268254083786,0.1177347217100247,0.0,0.0,0.0,0.0,0.0,0.11876838192694,0.0620572467072013,36.40185183,9.733964485,3.958464876,3.713727155,1.853428462,4.4,281.35,tienIch,tienIch_2017
5,HOSE,TDW_2017,0.1484152714246329,0.628571249,1.6207732344802237,0.6184332216158398,0.5538629136765144,0.897686186058125,0.3425272260385025,0.4915059535638847,0.7966196941240239,0.3039636103058786,0.069362993890411,0.1252349492584418,0.1411234052964434,0.1124216839609934,0.0428963797725667,0.1407671048553392,0.0537120507059338,33.268465609,11.367814979,1.893065821,2.870898005,1.877656125,4.4,281.35,tienIch,tienIch_2017
6,HNX,PCG_2017,0.3809508529294997,5.350412208,0.1885743087786939,0.1586558849420709,0.9849934705943992,0.1857444628688656,0.1562750107393161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120741601365784,0.0101585235751773,6.490316096,-0.981446322,0.765268967,0.796214717,1.29761364,4.4,281.35,tienIch,tienIch_2017
7,HOSE,CLW_2017,0.0742229870786734,0.793301956,1.297332999979515,0.5647126472266245,0.9138792388465262,1.1856056945517597,0.5160791642144745,0.0134921196059279,0.0175037720044408,0.0076191705793617,0.0,0.0,0.0,0.0,0.0,0.0829916921498306,0.0361252339780827,6.220545882,5.533446858,1.447364889,1.632937417,2.282390379,4.4,281.35,tienIch,tienIch_2017
8,HOSE,CNG_2017,0.0813443819788308,2.326452695,0.5187915802135715,0.3415818121276517,0.9259264049431116,0.4803628227819081,0.3162796192973099,0.0019611593449128,0.0010174329555979,0.0006698963629064,0.0,0.0,0.0,0.0,0.0,0.2273150333346384,0.149668352324335,18.042886188,13.789633058,10.826261291,8.310306654,1.905474651,4.4,281.35,tienIch,tienIch_2017
10,HOSE,GAS_2017,0.1585274553702992,3.506012739,0.491680865970422,0.3296153199971202,0.5349013317264627,0.2630007499919991,0.1763116736239037,0.358433926414488,0.176235103332654,0.1181453133529357,0.0,0.0,0.0,0.0,0.0,0.2334283316541025,0.1564867774195416,23.500192501,22.072484244,19.325107255,15.402071586,1.087671989,4.4,281.35,tienIch,tienIch_2017
11,HOSE,SII_2017,0.0487056912962051,1.993211352,2.071801339782383,0.674458114511128,0.0881481595430151,0.18262547504057,0.0594522414830081,0.5246095931358413,1.0868868579215267,0.3538271970408495,0.0044824646322371,0.0508514829518336,0.0085443817476598,0.009286776230596,0.0030232346442214,0.0366965525661788,0.0119462649133353,-3.182015071,5.917242553,-49.740414279,11.804571513,0.083728308,4.4,281.35,tienIch,tienIch_2017
12,HNX,PIC_2017,0.0046544335371438,0.95071477,0.6497999716372241,0.393865912721757,0.199685687455707,0.129755754045078,0.0786493855472135,0.8003143125442929,0.520044217592146,0.3152165271745434,0.0,0.0,0.0,0.0,0.0,0.117648266896196,0.0713106248749929,62.520389595,69.333354563,52.065065354,49.363891787,0.150380942,4.4,281.35,tienIch,tienIch_2017
